"고유번호","녹지대ID","녹지대명","주소한글","녹지대분류","녹지대조성년도","녹지대면적","조경량","구명","구코드","생성일","사진파일명","경도","위도"
"103","0","영등포ic"," ","도로변녹지","0","16145.00000000","0E-8","영등포구","560",""," ","126.9136206","37.520411"
"105","0","남부순환로수벽"," ","수벽","0","1000.00000000","0E-8","서초구","650",""," ","126.9931597","37.4747777"
"106","0","가락사거리녹지대"," ","도로변녹지","0","37080.00000000","0E-8","송파구","710",""," ","127.1154226","37.4975797"
"107","0","올림픽로 분리대"," ","중앙분리대","0","28907.00000000","0E-8","송파구","710",""," ","127.1003898","37.5139019"
"108","0","성내천둔치공원(오금동)"," ","하천변조경","0","26390.00000000","0E-8","송파구","710",""," ","127.137227","37.502803"
"109","0","풍납마을마당"," ","휴게소","0","1192.00000000","0E-8","송파구","710",""," ","127.1136341","37.5275546"
"110","0","신암중학교","암사동444","건물조경","0","1200.00000000","0E-8","강동구","740",""," ","127.1328793","37.5560708"
"111","0","일원가로공원","일원동","가로녹지대","0","10771.00000000","0E-8","강남구","680",""," ","127.0724945","37.4956874"
"112","0","수서ic녹지대","수서동","가로녹지대","0","33128.00000000","0E-8","강남구","680",""," ","127.0980826","37.4932576"
"113","0","봉천복개로"," ","노변분리","0","9489.00000000","0E-8","관악구","620",""," ","126.9403907","37.483809"
"114","0","헌릉로변녹지대","양재동 염곡사거리~내곡동","도로변녹지","0","1420.00000000","0E-8","서초구","650",""," ","127.0783768","37.4598343"
"115","0","테헤란로분리대"," ","분리녹지대","0","8253.00000000","0E-8","강남구","680",""," ","127.0559899","37.506665"
"93","0","상도5구역녹지","상도동 408-2외 2필지","경관녹지","0","851.00000000","0E-8","동작구","590",""," ","126.9610401","37.4943851"
"98","0"," "," "," ","0","0E-8","0E-8","송파구","710",""," ","127.1143443","37.5172868"
"101","0","탄천제방수림대"," ","수림대","0","72000.00000000","0E-8","송파구","710",""," ","127.0782803","37.5026989"
"116","0","양화I.C녹지","목동 570","일반녹지","0","1450.00000000","0E-8","양천구","470",""," ","126.8803396","37.5466805"
"117","0","강동대로 분리대"," ","노변분리대","0","1991.00000000","0E-8","송파구","710",""," ","127.134084","37.5209974"
"119","0","시민의숲"," ","수벽","0","26000.00000000","0E-8","관악구","620",""," ","126.9150452","37.4887126"
"121","0","난지도길 중앙분리대"," ","중앙분리대","0","897.00000000","0E-8","마포구","440",""," ","126.8906869","37.5703944"
"122","0","상암택지광장4","상암24일대","광장녹지","0","708.00000000","0E-8","마포구","440",""," ","126.8980678","37.5735012"
"123","0","독막길걷고싶은거리","2003.하반기 완공예정"," ","0","0E-8","0E-8","마포구","440",""," ","126.947681","37.5430759"
"124","0","합정로변 푸른거리","2003.하반기 완공예정"," ","0","0E-8","0E-8","마포구","440",""," ","126.9041933","37.5623529"
"1","0","한천로변","번동260-363","수벽","0","1200.00000000","35000.00000000","강북구","300",""," ","127.0403458","37.6312214"
"30","0","청계로 분리대"," ","분리대","0","100.00000000","640.00000000","종로구","110",""," ","126.9783861","37.5691825"
"31","0","자하문 주변"," ","문화재 주변","0","1375.00000000","1878.00000000","종로구","110",""," ","126.9687357","37.5885665"
"32","0","구청사 녹지"," ","공공건물","0","764.00000000","2646.00000000","종로구","110",""," ","126.979588","37.5725765"
"33","0","종로선3개소"," ","지하철환기구주변","0","292.00000000","2743.00000000","종로구","110",""," ","126.9926204","37.5706481"
"34","0","사직로 옆 녹지"," "," ","0","0E-8","0E-8","종로구","110",""," ","126.9721346","37.5756866"
"35","0","공릉동 229-35"," ","자투리땅 녹지","0","150.00000000","286.00000000","노원구","350",""," ","127.082185","37.6241753"
"36","0","경관 수림대"," ","수림대","0","1028.00000000","28060.00000000","노원구","350",""," ","127.0608606","37.6412207"
"37","0","중량천변경관 수림"," ","수림대","0","77200.00000000","303764.00000000","노원구","350",""," ","127.0718905","37.6188152"
"38","0","면목유수지사거리","면목5동","도로변녹지","0","1050.00000000","7368.00000000","중랑구","260",""," ","127.0798697","37.5811488"
"39","0","은평터널녹지대"," ","도로변녹지","0","980.00000000","2700.00000000","은평구","380",""," ","126.901853","37.5926706"
"40","0","서서울(아)앞"," ","도로변녹지","0","177.00000000","0E-8","마포구","440",""," ","126.9581223","37.5558032"
